date,ticker,shares,close_price,position_value,unrealized_pnl,day_change_pct,currency,position_value_myr
2026-06-17,1023,600,7.78,4668.00,235.98,0.0,MYR,4668.00
2026-06-17,5211,400,5.30,2120.00,124.00,0.0,MYR,2120.00
2026-06-17,5347,100,14.56,1456.00,6.00,0.0,MYR,1456.00
2026-06-17,5398,200,4.43,886.00,130.00,0.0,MYR,886.00
2026-06-17,5555,1000,1.79,1790.00,-30.00,0.0,MYR,1790.00
2026-06-17,AAPL,1.0006,299.24,299.42,129.66,0.95,USD,1215.49
2026-06-17,JNJ,1.3385,235.18,314.79,13.57,-0.20,USD,1277.88
2026-06-17,NVDA,2,207.41,414.82,-24.58,-2.37,USD,1683.96
2026-06-17,QQQM,4.1052,300.56,1233.86,213.43,-1.85,USD,5008.85
2026-06-17,SCHG,21.7394,33.96,738.27,77.89,-0.76,USD,2997.01
2026-06-17,VOO,1.8367,689.75,1266.86,145.71,-0.59,USD,5142.91
2026-06-17,Z,5.4259,33.26,180.47,-19.53,2.78,USD,732.60
2026-06-17,MYU0100A8420,7575.325794,1.0766,8155.60,0.0,0.0,USD,33107.64
2026-06-17,_TOTAL,,,,,,,67866.36
